timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480563.632:   -164  78  10  768
1477480563.633:   -211  78  10  768
1477480563.634:   -270  78  10  768
1477480563.634:   -344  78  10  768
1477480563.637:   -428  78  10  768
1477480563.637:   -514  78  10  768
1477480563.639:   -601  78  10  768
1477480563.639:   -697  78  10  768
1477480563.641:   -807  78  10  768
1477480563.646:   -927  78  10  768
1477480563.654:  -1046  78  10  768
1477480563.654:  -1155  78  10  768
1477480563.655:  -1259  78  10  768
1477480563.656:  -1367  78  10  768
1477480563.657:  -1480  78  10  768
1477480563.657:  -1584  78  10  768
1477480563.658:  -1661  78  10  768
1477480563.660:  -1710  78  10  768
1477480563.664:  -1745  78  10  768
1477480563.665:  -1777  78  10  768
1477480563.673:  -1795  78  10  768
1477480563.674:  -1784  78  10  768
1477480563.675:  -1743  78  10  768
1477480563.676:  -1687  78  10  768
1477480563.676:  -1630  78  10  768
1477480563.678:  -1571  78  10  768
1477480563.678:  -1500  78  10  768
1477480563.679:  -1418  78  10  768
1477480563.681:  -1336  78  10  768
1477480563.683:  -1257  78  10  768
1477480563.693:  -1173  78  10  768
1477480563.693:  -1079  78  10  768
1477480563.693:   -981  78  10  768
1477480563.694:   -898  78  10  768
1477480563.694:   -829  78  10  768
1477480563.694:   -759  78  10  768
1477480563.699:   -675  78  10  768
1477480563.699:   -585  78  10  768
1477480563.700:   -509  78  10  768
1477480563.705:   -455  78  10  768
1477480563.713:   -408  78  10  768
1477480563.732:   -351  78  10  768
1477480563.805:   -287  78  10  768
1477480563.805:   -231  78  10  768
1477480563.805:   -191  78  10  768
1477480563.805:   -161  78  10  768
1477480563.806:   -129  78  10  768
1477480563.806:    -93  78  10  768
1477480563.806:    -64  78  10  768
1477480563.806:    -46  78  10  768
1477480563.806:    -34  78  10  768
1477480563.806:    -20  78  10  768
1477480563.806:     -8  78  10  768
1477480563.807:    -10  78  10  768
1477480563.807:    -25  78  10  768
1477480563.807:    -42  78  10  768
1477480563.807:    -50  78  10  768
1477480563.807:    -50  78  10  768
1477480563.807:    -51  78  10  768
1477480563.807:    -59  78  10  768
1477480563.807:    -67  78  10  768
1477480563.808:    -69  78  10  768
1477480563.808:    -65  78  10  768
1477480563.808:    -64  78  10  768
1477480563.808:    -72  78  10  768
1477480563.808:    -88  78  10  768
1477480563.808:   -103  78  10  768
1477480563.808:   -112  78  10  768
1477480563.809:   -117  78  10  768
1477480563.809:   -127  78  10  768
1477480563.809:   -146  78  10  768
1477480563.809:   -170  78  10  768
1477480563.809:   -189  78  10  768
1477480563.810:   -194  78  10  768
1477480563.823:   -190  78  10  768
1477480563.823:   -186  78  10  768
1477480563.823:   -193  78  10  768
1477480563.823:   -205  78  10  768
1477480563.823:   -210  78  10  768
1477480563.823:   -197  78  10  768
1477480563.823:   -173  78  10  768
1477480563.824:   -156  78  10  768
1477480563.824:   -155  78  10  768
1477480563.824:   -164  78  10  768
1477480563.824:   -167  78  10  768
1477480563.825:   -158  78  10  768
1477480563.825:   -143  78  10  768
1477480563.825:   -138  78  10  768
1477480563.825:   -142  78  10  768
1477480563.825:   -148  78  10  768
1477480563.826:   -151  78  10  768
1477480563.826:   -152  78  10  768
1477480563.827:   -154  78  10  768
1477480563.828:   -153  78  10  768
1477480563.828:   -145  78  10  768
1477480563.828:   -137  78  10  768
1477480563.828:   -136  78  10  768
1477480563.828:   -142  78  10  768
1477480563.829:   -142  78  10  768
1477480563.829:   -128  78  10  768
1477480563.829:   -107  78  10  768
1477480563.829:    -97  78  10  768
1477480563.829:   -102  78  10  768
1477480563.829:   -107  78  10  768
1477480563.833:    -96  78  10  768
1477480563.837:    -75  78  10  768
1477480563.841:    -57  78  10  768
1477480563.841:    -47  78  10  768
1477480563.852:    -38  78  10  768
1477480563.853:    -26  78  10  768
1477480563.853:    -18  78  10  768
1477480563.854:    -21  78  10  768
1477480563.854:    -25  78  10  768
1477480563.854:    -16  78  10  768
